번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","지금은 몇 시?","최정선 글;강영지 그림","보림","2017","9788943310295","","7","","813.8","1","0","2025-02-06",
"2","해리 쿼버트 사건의 진실.","조엘 디케르 지음;양영란 옮김","밝은세상","2024","9788984374775","9788984374751","0","2","863","1","0","2025-02-06",
"3","해리 쿼버트 사건의 진실.","조엘 디케르 지음;양영란 옮김","밝은세상","2024","9788984374768","9788984374751","0","1","863","1","0","2025-02-06",
"4","의사의 딜레마","조지 버나드 쇼 지음;이원경 옮김","좋은땅","2025","9791138839198","","0","","842","1","0","2025-02-06",
"5","바람의 언덕","이명희 지음","중문출판사","2025","9788980806539","","0","","811.7","1","0","2025-02-06",
"6","(프렌즈) 이탈리아","황현희 지음","중앙일보에스","2024","9788927880509","","1","","980.24","1","3","2024-12-26",
"7","고대 도성, 권력으로 읽다","권순흥 지음","푸른역사","2023","9791156122647","","0","","911.008","1","0","2024-12-26",
"8","시간이 놓친 역사, 공간으로 읽는다","여호규 지음","푸른역사","2023","9791156122555","","0","","911.008","1","0","2024-12-26",
"9","한문이 말하지 못한 한국사","장지연 지음","푸른역사","2023","9791156122531","","0","","911.008","1","0","2024-12-26",
"10","15세기 조선 사람과 만나다","신동훈 지음","푸른역사","2023","9791156122579","","0","","911.008","1","0","2024-12-26",
"11","바다에서 발굴한 고려사","문경호 지음","푸른역사","2023","9791156122548","","0","","911.008","1","0","2024-12-26",
"12","어둠의 심장","조지프 콘래드 지음;황유원 옮김","휴머니스트출판그룹","2024","9791170872283","","0","","808","1","0","2024-12-26",
"13","아소무아르.","에밀 졸라 지음;윤진 옮김","민음사","2024","9788937464416","9788937460005","0","1","808","1","1","2024-12-26",
"14","아소무아르.","에밀 졸라 지음;윤진 옮김","민음사","2024","9788937464423","9788937460005","0","2","808","1","0","2024-12-26",
"15","고양이는 왜 입체적인가","김자흔 지음","문학의전당","2024","9791158966560","","0","","811.708","1","0","2024-12-26",
"16","어때요 이런 고요","조경선 지음","여우난골","2024","9791192651286","","0","","811.708","1","0","2024-12-26",
"17","가장 파란 눈","토니 모리슨 지음;정소영 옮김","문학동네","2024","9791141600167","","0","","808","1","0","2024-12-26",
"18","미란다 복제하기","캐럴 마타스 지음;김다봄 옮김","사계절(사계절출판사)","2024","9791169811811","","4","","843.6","1","0","2024-12-26",
"19","거기, 있나요?","이필원 글;조승연 그림","낮은산","2023","9791155251683","","4","","808.9","1","0","2024-12-26",
"20","평범한 아이들","남유하 글;최도은 그림","낮은산","2022","9791155251546","","4","","808.9","1","0","2024-12-26",
"21","성 베드로 축일","엘리스 피터스 지음;송은경 옮김","북하우스 퍼블리셔스","2024","9791164052585","","0","","843.6","1","0","2024-12-26",
"22","세인트자일스의 나환자","엘리스 피터스 지음;이창남 옮김","북하우스 퍼블리셔스","2024","9791164052592","","0","","843.6","1","0","2024-12-26",
"23","시체 한 구가 더 있다","엘리스 피터스 지음;김훈 옮김","북하우스 퍼블리셔스","2024","9791164052561","","0","","843.6","1","1","2024-12-26",
"24","유골에 대한 기이한 취향","엘리스 피터스 지음;최인석 옮김","북하우스 퍼블리셔스","2024","9791164052554","","0","","843.6","1","2","2024-12-26",
"25","수도사의 두건","엘리스 피터스 지음;현준만 옮김","북하우스 퍼블리셔스","2024","9791164052578","","0","","843.6","1","0","2024-12-26",
"26","삶과 운명.","바실리 그로스만 지음;최선 옮김","창비","2024","9788936464974","","0","3","808.91","1","0","2024-12-26",
"27","내 몸 쓰는 법","김보미 지음","서해문집","2024","9791192988610","","4","","802","1","0","2024-12-26",
"28","(일제 강점기 최초의 여성 노동 운동가) 강주룡","김미승 글;클로이 그림","청어람주니어","2024","9791186419960","","7","","990","1","2","2024-12-26",
"29","(우리나라 최초의 여성 영화감독) 박남옥","박지숙 글;에이리 그림","청어람주니어","2024","9791194180036","","7","","990","1","1","2024-12-26",
"30","나라를 구한 의병장 양달사","이이랑 지음;윤종태 그림","크레용하우스","2023","9791171210312","","7","","808.91","1","1","2024-12-26",
"31","(일제 강점기 최초의 여성 의병장) 윤희순","이진미 글;달상 그림","청어람주니어","2024","9791186419953","","7","","990","1","2","2024-12-26",
"32","(우리나라 최초의 여성 변호사) 이태영","강민경 글;화요 그림","청어람주니어","2024","9791194180029","","7","","990","1","1","2024-12-26",
"33","(우리나라 최초의 민간 신문 여기자) 최은희","한영미 글;인디고 그림","청어람주니어","2024","9791186419984","","7","","990","1","2","2024-12-26",
"34","1019, 고려 아이들","고수진 글;김도아 그림","이지북","2024","9791193914304","","7","","813.808","1","3","2024-12-26",
"35","광화문 해치에 귀신이 산다","차유진 지음;불곰 그림","이지북","2023","9788957075289","","7","","813.808","1","1","2024-12-26",
"36","석주명","최은옥 글;이경석 그림","비룡소","2024","9788949129495","","7","","990.8","1","0","2024-12-26",
"37","(Who? Special) 페이커","오기수,김정욱 [공]글;이지은 그림","다산북스","2024","9791130655383","","1","","991.1","1","5","2024-12-26",
"38","(유네스코 세계 유산) 한국의 갯벌","정종영 지음;김창희 그림","동아엠앤비","2024","9791163638049","","7","","082","1","0","2024-12-26",
"39","궁금 탐정의 놀멍 쉬멍 제주도 여행","이미애 글;김규택 그림","웅진씽크빅","2020","9788901231884","","7","","981.1","1","1","2024-12-26",
"40","얼쑤, 좋다! 전주로구나","이안 글;신슬기 그림","웅진씽크빅","2020","9788901231853","","7","","981.1","1","1","2024-12-26",
"41","마니야, 군산 역사가 궁금해!","김성은 글;정문주 그림","웅진씽크빅","2020","9788901231846","","7","","981.1","1","0","2024-12-26",
"42","환경 수비대, 순천으로 출동!","한정아 글;소복이 그림","웅진씽크빅","2020","9788901231877","","7","","981.1","1","1","2024-12-26",
"43","(뚝딱 선장과 두두의) 출렁출렁 목포 여행","박효미 글;김이조 그림","웅진씽크빅","2020","9788901231860","","7","","981.1","1","0","2024-12-26",
"44","경주에서 만난 신라 인형 토우","유승혜 글;구은선 그림","웅진씽크빅","2020","9788901231839","","7","","981.1","1","2","2024-12-26",
"45","(달이와 피터의) 덩실덩실 안동 여행","김리라 글;김유대 그림","웅진씽크빅","2020","9788901231822","","7","","981.1","1","0","2024-12-26",
"46","천안에서 외치자, 대한 독립 만세!","한화주 글;이경석 그림","웅진씽크빅","2020","9788901231792","","7","","981.1","1","1","2024-12-26",
"47","수막새 따라 공주로! 부여로!","서보현 글;이명애 그림","웅진씽크빅","2020","9788901231808","","7","","981.1","1","0","2024-12-26",
"48","왕멸아, 통영 여행 부탁해!","이연희 글;민은정 그림","웅진씽크빅","2020","9788901231815","","7","","981.1","1","1","2024-12-26",
"49","(솔이네 가족의) 뜨끈뜨끈 충주 여행","오주영 글;윤진현 그림","웅진씽크빅","2020","9788901231785","","7","","981.1","1","1","2024-12-26",
"50","신비로 가득한 태백이다룡~","신정민 글;이유정 그림","웅진씽크빅","2020","9788901231778","","7","","981.1","1","1","2024-12-26",
"51","강릉으로 간 도둑, 산이와 적이","권다현 글;손지희 그림","웅진씽크빅","2020","9788901231761","","7","","981.1","1","2","2024-12-26",
"52","막국수가 좋아! 춘천이 좋아!","허은실 글;여미경 그림","웅진씽크빅","2020","9788901231754","","7","","981.1","1","1","2024-12-26",
"53","티격태격 쌍둥이, 평화의 도시 파주로!","유다정 글;김무연 그림","웅진씽크빅","2020","9788901231747","","7","","981.1","1","0","2024-12-26",
"54","빵빵! 여기는 특별한 도시 세종시","노지영 글;노준구 그림","웅진씽크빅","2020","9788901231723","","7","","981.1","1","2","2024-12-26",
"55","유나네 가족, 부산을 누비다","강성은 글;조승연 그림","웅진씽크빅","2020","9788901231716","","7","","981.1","1","2","2024-12-26",
"56","고래 보러 울산 가자!","박은정 글;이해정 그림","웅진씽크빅","2020","9788901231709","","7","","981.1","1","0","2024-12-26",
"57","도시 탐험대, 수원을 탐험하다","박선아 글;김민준 그림","웅진씽크빅","2020","9788901231730","","7","","981.1","1","1","2024-12-26",
"58","오 마이 갓! 멋진 대구","강희은 글;혜마 그림","웅진씽크빅","2020","9788901231693","","7","","981.1","1","5","2024-12-26",
"59","오태양과 최태풍의 띠릿띠릿 대전 여행","이동미 글;정현지 그림","웅진씽크빅","2020","9788901231679","","7","","981.1","1","2","2024-12-26",
"60","괴짜 예술가의 오매오매 광주 여행","임지형 글;박우희 그림","웅진씽크빅","2020","9788901231686","","7","","981.1","1","1","2024-12-26",
"61","짜장면 먹고 인천 여행","신순재 글;김상인 그림","웅진씽크빅","2020","9788901231662","","7","","981.1","1","1","2024-12-26",
"62","외계인 삼총사의 세 가지 서울 여행","이연희 글;김진화 그림","웅진씽크빅","2020","9788901231655","","7","","981.1","1","2","2024-12-26",
"63","놀자 놀자 같이 놀자!","낸시 딕먼 글;모니카 앤디노 그림;김민경 옮김","북극곰","2024","9791165883645","","7","","082","1","0","2024-12-26",
"64","산토리니에서 보물찾기","팝콘스토리 글;강경효 그림","미래엔","2024","9791168418639","","7","","909","1","5","2024-12-26",
"65","갈라파고스에서 보물찾기","팝콘스토리 글;강경효 그림","미래엔","2024","9791168417892","","7","","909","1","4","2024-12-26",
"66","마니토를 찾습니다","임소영 글;불키드 그림","노란상상","2024","9791193074367","","7","","808.91","1","2","2024-12-26",
"67","숨숨 도서관","주애령 글;김유진 그림","노란상상","2024","9791193074183","","7","","808.91","1","0","2024-12-26",
"68","전사들.","에린 헌터 지음;서현정 옮김","가람어린이","2024","9791165183110","","7","3","843.6","1","0","2024-12-26",
"69","전사들.","에린 헌터 지음;서현정 옮김","가람어린이","2024","9791165183134","","7","2","843.6","1","1","2024-12-26",
"70","위대한 씨앗","마르타 쿠닐 지음;김정하 옮김","파란자전거","2024","9791192308524","","7","","808.91","1","0","2024-12-26",
"71","냄새 잡는 신발장 회의","무라카미 시코 글;다카바타케 나오 그림;옥창준 옮김","파란자전거","2023","9791192308340","","7","","808.91","1","1","2024-12-26",
"72","울음벌레","정희용 글;김보라 그림","책읽는곰","2024","9791158364564","","7","","813.808","1","2","2024-12-26",
"73","수상한 보건실.","소메야 가코 지음;히쓰기 그림;김소연 옮김","책읽는곰","2024","9791158364571","9788993242461","7","4","808.91","1","4","2024-12-26",
"74","발표는 안 무서워","김윤아 글;토마스 그림","책읽는곰","2024","9791158364502","","7","","813.808","1","3","2024-12-26",
"75","수상한 보건실.","소메야 가코 글;히쓰기 그림;김소연 옮김","책읽는곰","2024","9791158364427","9788993242461","7","3","808.91","1","4","2024-12-26",
"76","좋아요가 달렸습니다","원명희 글;이주미 그림","책과콩나무","2024","9791192529875","","7","","808.91","1","3","2024-12-26",
"77","핫스팟을 켜라","김영인 지음;김상균 그림","책고래","2023","9791165021610","","7","","808.91","1","1","2024-12-26",
"78","푸다닭","김명희 지음;김상균 그림","책고래","2022","9791165021238","","0","","808.91","1","1","2024-12-26",
"79","(아름다운 아이) 화이트 버드","R.J. 팔라시오, 에리카 S. 펄 [공]지음;천미나 옮김","책과콩나무","2023","9791192529455","","7","","808.91","1","0","2024-12-26",
"80","하늘을 날고 싶은 엉덩이","주미라 글;채린 그림","책고래","2024","9791165021641","","7","","808.91","1","0","2024-12-26",
"81","오늘 아침에 고래를 만났습니다1","마이클 모퍼고 글;크리스천 버밍엄 그림;천미나 옮김","책과콩나무","2023","9791192529592","","7","","808.91","1","0","2024-12-26",
"82","우리 집에 귀신이 산다.","정설아 글;한상희 그림","책고래","2023","9791165021481","9791165021412","7","2","808.91","1","2","2024-12-26",
"83","토끼의후예","이창순 글;이윤정 그림","책고래","2024","9791165021665","","7","","808.91","1","1","2024-12-26",
"84","최엄지, 손엄지","이성자 지음","책고래","2023","9791165021573","","7","","808.91","1","0","2024-12-26",
"85","웃는 나눗셈","하정화 글;성영란 그림","책고래","2023","9791165021597","","7","","808.91","1","0","2024-12-26",
"86","우리 집에 귀신이 산다.","정설아 글;한상희 그림","책고래","2023","9791165021429","9791165021412","7","1","808.91","1","2","2024-12-26",
"87","쉿! 위대한 토끼님","김경숙 글;솜보리 그림","책고래","2022","9791165021320","","7","","808.91","1","0","2024-12-26",
"88","들꽃처럼 별들처럼","선안나 글;이상윤 그림","책고래","2023","9791165021399","","7","","808.91","1","0","2024-12-26",
"89","고양이밥은 누가 먹었을까?","김형미 지음;솜보리 그림","책고래","2024","9791165021658","","7","","808.91","1","1","2024-12-26",
"90","귀신고래 대미의 모험","김명희 글;이윤정 그림","책고래","2024","9791165021634","","7","","808.91","1","0","2024-12-26",
"91","괜찮은 날도 있어!","이수경 글;김미영 그림","책고래","2024","9791165021726","","7","","808.91","1","0","2024-12-26",
"92","꽁다리 김밥","정두리 글;지안 그림","책고래","2023","9791165021603","","7","","808.91","1","2","2024-12-26",
"93","나랑 같이 밥 먹을래?","오인태 글;지안 그림","책고래","2023","9791165021542","","7","","808.91","1","0","2024-12-26",
"94","몽글몽글 편의점","김영진 지음","책읽는곰","2024","9791158364823","","7","","813.8","1","3","2024-12-26",
"95","찰랑찰랑 사랑 하나","황선미 글;김정은 그림","위즈덤하우스","2024","9791192655659","","7","","813.808","1","2","2024-12-26",
"96","퓨마의 돌","이조은 글;주정민 그림","웅진주니어","2024","9788901277660","","7","","808.91","1","0","2024-12-26",
"97","창문으로 들어온 아이들","최빛나 글;모차 그림","웅진주니어","2024","9788901280523","","7","","808.91","1","1","2024-12-26",
"98","홈스테이는 지구에서","장한애 글;Sujan 그림","웅진주니어","2022","9788901266879","","7","","808.91","1","0","2024-12-26",
"99","개는 용감하다","박현숙 글;해랑 그림","열림원어린이","2024","9788961554947","","7","","813.8","1","0","2024-12-26",
"100","소원 취소해 주세요","김윤경 글;하수정 그림","웅진주니어","2023","9788901271309","","7","","808.91","1","1","2024-12-26",
"101","어디에나 있어, 달바","심순 지음;김기성 그림","씨드북","2024","9791160516029","","7","","813.808","1","0","2024-12-26",
"102","모다해, 꿈 종이를 접어 봐!","이현 글;김민우 그림","씨드북","2023","9791160515930","","0","","813.808","1","0","2024-12-26",
"103","복을 그리는 아이","한현정 글;이로우 그림","시공사","2024","9791171251186","","7","","808.91","1","1","2024-12-26",
"104","데드 파더스.","잠뜰TV 원작;김수경 글;루체 그림","서울문화사","2023","9791169232531","","7","상","813.8","1","2","2024-12-26",
"105","명탐견 오드리 예감은 꼬리에서부터","정은숙 글;이주희 그림","사계절","2024","9791169811866","","7","","808.91","1","2","2024-12-26",
"106","조관순, 학교를 뒤집다","박상기 지음;이영림 그림","비룡소","2024","9788949122052","","7","","808.91","1","1","2024-12-26",
"107","모모","미하엘 엔데 지음;한미희 옮김","비룡소","2024","9788949139999","","4","","808.91","1","2","2024-12-26",
"108","내가 고생이 많네","허연 지음;소복이 그림","비룡소","2024","9788949181790","","8","","811.808","1","3","2024-12-26",
"109","내가 만약에 말이라면","소피 블랙올 글·그림;정회성 옮김","비룡소","2024","9788949105635","","7","","808.91","1","0","2024-12-26",
"110","평화 시장","김지연 지음","북멘토","2024","9788963195766","","7","","808.91","1","0","2024-12-26",
"111","오늘만 선생님","김은비 글·그림","북멘토","2024","9788963195742","","7","","808.91","1","1","2024-12-26",
"112","반가워요, 여신님!","양정화 지음;홍선주 그림","봄볕","2023","9791193150207","","7","","808.81","1","0","2024-12-26",
"113","별마트 햄스터 탈출","방민경 지음;윤정미 그림","봄볕","2024","9791193150245","","7","","808.81","1","2","2024-12-26",
"114","2만 원짜리 엄마","조은진 글;심윤정 그림","북멘토","2024","9788963195797","","7","","808.91","1","2","2024-12-26",
"115","백정의 아들, 포와에 가다","남경희 지음;오승민 그림","봄볕","2023","9791193150160","","0","","808.81","1","1","2024-12-26",
"116","아무튼 학교에 가 볼게","김미희 글;손지희 그림","봄볕","2023","9791193150191","","7","","808.91","1","3","2024-12-26",
"117","마지막 숲을 찾아라!","파트리시아 가르시아로호 지음;마리아 코레데라 그림;김정하 옮김","봄볕","2023","9791193150122","","7","","808.81","1","1","2024-12-26",
"118","들풀 마을의 구돌이","조규영 지음;김고둥 그림","봄볕","2024","9791193150238","","7","","808.91","1","3","2024-12-26",
"119","토끼 제빵사와 신비한 빵집","김정 글;송선옥 그림","북멘토(도서출판)","2024","9788963196053","","7","","808.91","1","3","2024-12-26",
"120","우주 최강 도깨비","이레 글;모차 그림","이지북","2024","9791193914427","","7","","808.91","1","3","2024-12-26",
"121","개마법사 쿠키와 화요일 밤의 귀신","이승민 글;조승연 그림","천개의바람","2024","9791165735814","","7","","808.91","1","2","2024-12-26",
"122","정의의 라방","이규희 글;스갱 그림","이지북","2024","9791193914496","","7","","808.91","1","1","2024-12-26",
"123","4학년 4춘기","양승현 글;나오미양 그림","소원나무","2024","9791193207444","","7","","808.91","1","2","2024-12-26",
"124","다정한 고랄라 목욕탕","박미라 글;홍그림 그림","주니어김영사","2024","9791194330622","","0","","813.8","1","3","2024-12-26",
"125","솔직한 게 뭐 어때!","임근희 글;김미연 그림","잇츠북어린이","2024","9791194082057","","7","","813.808","1","2","2024-12-26",
"126","모두의 집","캘리 조지 글;스테퍼니 그레긴 그림;조은 옮김","책과콩나무","2024","9791192529622","","7","","808.91","1","0","2024-12-26",
"127","마술 소녀 두비치나","김선아 지음;박지윤 그림","별숲","2024","9791192370743","","7","","808.91","1","1","2024-12-26",
"128","반반 솜사탕","김진형 글;홍그림 그림","소원나무","2024","9791193207994","","7","","813.808","1","4","2024-12-26",
"129","열세 살의 트라이앵글","최인정 글;클로이 그림","샘터(샘터사)","2024","9788946474673","","7","","808.91","1","1","2024-12-26",
"130","예뻐지는 약과 보건 선생님","안수민 글;신은경 그림","봄개울","2024","9791190689830","","7","","813.808","1","4","2024-12-26",
"131","마술사 루디의 비눗방울 사탕","정온하 글;유준재 그림","책딱지","2024","9791193215098","","7","","813.808","1","2","2024-12-26",
"132","반복되지만 언제나 좋은 것들","브뤼노 지베르 글·그림;박정연 옮김","바둑이하우스","2024","9791190557399","","7","","808.91","1","0","2024-12-26",
"133","마음 기입장","김진형 글;심윤정 그림","잇츠북어린이","2024","9791194082040","","7","","813.808","1","3","2024-12-26",
"134","콩알이의 위험한 여행","정원주 글;소하 그림","이지북","2024","9791193914359","","7","","808.91","1","2","2024-12-26",
"135","그만해요, 고만해 선생님!","김선 글;김진화 그림","김영사","2024","9791194330011","","7","","808.91","1","2","2024-12-26",
"136","냥냥 도넛 배달부","이혜령 글;홍그림 그림","천개의바람","2024","9791165735647","","7","","808.91","1","4","2024-12-26",
"137","아일랜드","김지완 지음;경혜원 그림","문학과지성사","2024","9788932043210","","7","","808.91","1","1","2024-12-26",
"138","또, 버려 버려 스티커","주봄 글;이덕화 그림","북멘토","2024","9788963196015","","7","","808.91","1","2","2024-12-26",
"139","맨홀에 빠진 앨리스","우신영 글;주정민 그림","이지북","2024","9791193914328","","7","","808.91","1","0","2024-12-26",
"140","양보하기 싫을 때는 어떻게 해요?","이명랑 지음;최준규 그림","자음과모음","2024","9788954451468","","7","","808.91","1","0","2024-12-26",
"141","꿀풍단의 비밀","이향지 글;하민석 그림","웅진씽크빅","2024","9788901282831","","7","","808.91","1","2","2024-12-26",
"142","모두가 친구","이소풍 글;은돌이 그림","바람의아이들","2024","9791162102251","","7","","808.91","1","1","2024-12-26",
"143","제주 소녀, 수선화","정복현 글;박현주 그림","리틀씨앤톡","2023","9788960988828","","7","","813.808","1","3","2024-12-26",
"144","입 무거운 사슴이 고민 들어 드려요","김민정 지음;이은경 그림","문학과지성사","2024","9788932042619","","7","","808.91","1","2","2024-12-26",
"145","달리고 달리고","임근희 글;리페 그림","리틀씨앤톡","2023","9788960989023","","7","","813.808","1","1","2024-12-26",
"146","바다를 담은 그릇","이미례 글;차상미 그림","씨앤톡","2022","9788960988460","","7","","813.808","1","1","2024-12-26",
"147","수영복 입은 강아지, 모모","검은빵 글;루치루치 그림","리틀씨앤톡","2024","9788960989962","","7","","813.808","1","4","2024-12-26",
"148","완벽하게 착한 아이, 시로","신은영 글;김민우 그림","씨앤톡","2022","9788960988446","","7","","813.808","1","1","2024-12-26",
"149","달려라, 야옹반점","김현정 글;양혜민 그림","리틀씨앤톡","2024","9788960989467","","7","","813.808","1","3","2024-12-26",
"150","눈물 도둑","김태호 글;허아성 그림","리틀씨앤톡","2024","9788960981959","","7","","813.808","1","2","2024-12-26",
"151","나팔꽃이 말했어요","이미례 글;이석구 그림","리틀씨앤톡","2024","9788960988330","","7","","813.808","1","1","2024-12-26",
"152","꾸무리와 초능력 소녀","김민정 글;이윤우 그림","리틀씨앤톡","2023","9788960988866","","7","","813.808","1","0","2024-12-26",
"153","스마트폰이 사라진 날","윤선아 글;이수영 그림","그레이트 Books(그레이트북스)","2024","9788927108511","","7","","808.91","1","3","2024-12-26",
"154","환경돌과 탄소 제로의 꿈을","최진우 글;서미경 그림","내일을여는책","2024","9788977468924","","7","","813.808","1","0","2024-12-26",
"155","지구를 지키는 패셔니스타","안선모 글;주성희 그림","내일을여는책","2024","9788977468849","","7","","813.808","1","0","2024-12-26",
"156","(침이 꼴깍) 음식물 쓰레기 파티","강경아 글;이경국 그림","와이즈만 Books","2024","9791192936307","","7","","539","1","2","2024-12-26",
"157","우리 집은 어디 일까?","니나 뇌레 지음;이연주 옮김","동아엠앤비","2024","9791163638070","","7","","539","1","0","2024-12-26",
"158","우리 옆에 4차원이 있다!","김성화, 권수진 [공] 글;강혜숙 그림","와이즈만 Books","2024","9791192936468","","7","","410","1","1","2024-12-26",
"159","컴퓨터에게 패턴을 가르쳐!","김성화, 권수진 [공] 글;이고은 그림","와이즈만 Books","2024","9791192936451","","7","","410","1","1","2024-12-26",
"160","(계절 알리미!) 생활 속 24절기","김고운매 글;신정수 그림","뭉치","2024","9791163638957","","0","","082","1","0","2024-12-26",
"161","달은 어떻게 달이 될까?","롬 호지슨 글·그림;김민경 옮김","북극곰","2024","9791165883881","","7","","082","1","2","2024-12-26",
"162","인공지능, 기계가 스스로 생각하는 시대","박열음 글;안주영 그림","사계절(사계절출판사)","2024","9791169812078","","7","","408","1","0","2024-12-26",
"163","경이로운 곤충 팝업북","벤 호어 지음;재스민 플로이드 그림;조은영 옮김","북극곰","2024","9791165883614","","7","","082","1","4","2024-12-26",
"164","지구가 뜨거워서 버스가 무료라고?","장성익 글;하완 그림","풀빛미디어","2024","9788967341848","","7","","308","1","0","2024-12-26",
"165","산불이 일어난 뒤에","대니 포포비치 지음;김배경 옮김;김황 해설","책속물고기","2021","9791163271093","","7","","808.91","1","1","2024-12-26",
"166","(미래가 온다) 첨단 도형이 온다!","김성화, 권수진 [공]지음;김진화 그림","와이즈만 Books","2024","9791192936079","","7","","410","1","0","2024-12-26",
"167","미래가 온다, 함수는 이상한 기계야!","김성화;권수진 지음","M&K","2024","9791192936086","","7","","410","1","2","2024-12-26",
"168","문어 뼈는 0개","앤 리처드슨 글;안드레아 안티노리 그림;김명남 옮김","봄볕","2024","9791193150269","","7","","001","1","2","2024-12-26",
"169","우리 곁의 동물 도우미","레나 회베리 글·그림;김아영 옮김","봄볕","2023","9791193150177","","7","","001","1","0","2024-12-26",
"170","최강 동물왕 선발 대회","퍼플카우콘텐츠팀 지음;여름박군 그림","보랏빛소","2023","9791193010600","","7","","082","1","4","2024-12-26",
"171","모모의 땅 탐구 노트","윤자영 글;박우희 그림","미래엔","2024","9791168418134","","7","","400","1","1","2024-12-26",
"172","슬픔이 날아오르도록","케이트 디카밀로 글;햇살과나무꾼 옮김","햇살과나무꾼","2024","9791198772510","","7","","813.808","1","0","2024-12-26",
"173","4분의 기적","제성은 글;임나운 그림","크레용하우스","2024","9791171210732","","7","","808.91","1","1","2024-12-26",
"174","핫도그 씨, 미술관에 가다","전은숙 글;남미리 그림","천개의바람","2024","9791165735029","","7","","808.91","1","0","2024-12-26",
"175","망했다 몬스터를 잡아라!","김민정 지음;윤소진 그림","천개의바람","2024","9791165735340","","7","","808.91","1","5","2024-12-26",
"176","사계절 아파트","조계영 지음;이윤정 그림","책고래","2024","9791165021863","","7","","808.91","1","1","2024-12-26",
"177","바로 너야","기옥경 [외] 지음;이윤정 그림","책고래","2024","9791165021740","","7","","808.91","1","1","2024-12-26",
"178","사랑은 초록","조은비 지음;김지인 그림","창비","2024","9788936443344","","7","","808.91","1","2","2024-12-26",
"179","해든 분식","동지아 글;윤정주 그림","문학동네","2024","9791141607791","","7","","808.91","1","4","2024-12-26",
"180","(별별사건) 고양이 흥신소","이서영 글;용달 그림","책고래","2024","9791165021771","","7","","808.91","1","1","2024-12-26",
"181","나의 낯선 가족","송혜수 지음;이인아 그림","창비","2024","9788936443351","","7","","808.91","1","1","2024-12-26",
"182","1학년은 처음이야","이신영 지음;조승연 그림","창비","2024","9788936451653","","7","","813.808","1","3","2024-12-26",
"183","출동, 방귀 소년","윤수란 글;이갑규 그림","이지북","2024","9791193914076","","7","","808.91","1","3","2024-12-26",
"184","안녕, 걱정 인형.","김은영 글;호랑쥐 그림","이지북","2024","9791193914168","","7","2","808.91","1","3","2024-12-26",
"185","똥찐빵 대 똥 일기","이수용 글;차상미 그림","이지북","2024","9791193914229","","7","","808.91","1","2","2024-12-26",
"186","진짜, 이루다","박슬기 글;명수경 그림","이지북","2024","9791193914205","","7","","808.91","1","2","2024-12-26",
"187","레고 가족","정유리 글;김래현 그림","이지북","2024","9788957077764","","7","","808.91","1","2","2024-12-26",
"188","내일은 슈퍼리치.","임지형 글;장덕현 그림","이지북","2024","9788957078617","","7","2","808.91","1","1","2024-12-26",
"189","라이징 4학년","김혜진 [외] 지음;메 그림","위즈덤하우스","2024","9791192655666","","7","","808.91","1","1","2024-12-26",
"190","나의 꼬마 집사에게","김은주 지음;우거진 그림","이지북","2024","9791193914014","","7","","808.91","1","1","2024-12-26",
"191","31센티미터의 약속","가에쓰 히로시 글;나간 그림;이소담 옮김","위즈덤하우스","2023","9791192655345","","7","","808.91","1","1","2024-12-26",
"192","하맹순과 오수아","은영 글; 최민지 그림","웅진씽크빅","2024","9788901282787","","7","","813.808","1","1","2024-12-26",
"193","하리, 말할 수 없는 비밀","송아주 글;모차 그림","웅진씽크빅","2024","9788901280998","","7","","813.8","1","0","2024-12-26",
"194","전사들.","에린 헌터 지음;서현정 옮김","가람어린이","2024","9791165182977","","7","1","843.6","1","2","2024-12-26",
"195","간판 없는 문구점의 기묘한 이야기","소향 글;모차 그림","한솔수북","2024","9791193494790","","7","","808.91","1","2","2024-12-26",
"196","(지금! 바로! 쓸 수 있는) AI의 모든 것","TOSS AI활용교육연구회 글;김지영 옮김","길벗어린이","2024","9788955827750","","7","","082","1","1","2024-12-26",
"197","페니실린에서 항암제까지","박승준 글;카나 그림","봄마중","2024","9791192595399","","7","","508","1","1","2024-12-26",
"198","위급한 환자의 생명을 구하라","윤경식 지음;정민영 그림","봄마중","2024","9791192595474","","7","","508","1","0","2024-12-26",
"199","동전을 100만 번 던져!","김성화, 권수진 [공]글;백두리 그림","와이즈만 Books","2024","9791192936475","","7","","410","1","2","2024-12-26",
"200","꿈꾸는 로봇 마젠타","지슬영 글;김상욱 그림","이지북","2024","9791193914021","","7","","808.91","1","2","2024-12-26",
"201","해동 인간","최은영 지음;박현주 그림","별숲","2024","9791192370682","","7","","808.91","1","2","2024-12-26",
"202","호기심이 만드는 과학자들","사스키아 귄 글;아나 알베로 그림;김배경 옮김","책속물고기","2024","9791163271499","","7","","808.91","1","0","2024-12-26",
"203","레서판다, 기후 위기의 지구를 구해줘","유혜진 지음;류미선 그림","책읽는달","2024","9791185053578","","7","","331","1","0","2024-12-26",
"204","항공교통관제사는 어때?","유영미;임은정 [공] 지음","토크쇼","2024","9791192842721","","7","","321.55","1","0","2024-12-26",
"205","스마트폰이 뭐 어때서요?","브래드 마셜, 린지 해속 [공] 글;로리안 보헤미에 그림;김아영 옮김","파란자전거","2024","9791192308586","","7","","308","1","0","2024-12-26",
