번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","삿포로의 여인","이순원 (지은이)","&(앤드)","2025","9791194462002","","","","813.6","1","2","2025-02-05",
"2","기숙사 옆 송차 카페","김재희 (지은이)","책과나무","2025","9791167525468","","","","813.7","1","2","2025-02-05",
"3","이 겨울 사라질 너에게","이누준 (지은이), 김진환 (옮긴이)","리드리드출판(한국능률협회)","2025","9791198853943","","","","833.6","1","1","2025-02-05",
"4","이상한 무인 편의점","서아람 (지은이), 안병현 (그림)","라곰스쿨","2024","9791189686987","","","","813.7","1","0","2025-02-05",
"5","이상한 무인 문구점","서아람 (지은이), 안병현 (그림)","라곰스쿨","2023","9791189686895","","","","813.7","1","0","2025-02-05",
"6","이상한 무인 아이스크림 가게","서아람 (지은이), 안병현 (그림)","라곰스쿨","2023","9791189686710","","","","813.7","1","0","2025-02-05",
"7","똥 나오기 100초 전!","김고은 (지은이)","제제의숲","2024","9791158733056","","","","813.7","1","0","2025-02-05",
"8","홀짝홀짝 호로록 - 제1회 창비그림책상 대상 수상작","손소영 (지은이)","창비","2024","9788936429126","","","","813.8","1","0","2025-02-05",
"9","초밥이 옷을 사러 갔어요","타나카 타츠야 (지은이), 권남희 (옮긴이)","토토북","2024","9788964965115","","","","833.6","1","0","2025-02-05",
"10","질투는 아웃, 야구 장갑!","유설화 (지은이)","책읽는곰","2024","9791158364595","","","","813.7","1","0","2025-02-05",
"11","바다의 천재들 - 물리학의 한계에 도전하는 바다 생물의 놀라운 생존 기술","빌 프랑수아 (지은이), 발랑틴 플레시 (그림), 이충호 (옮긴이)","해나무","2024","9791164052950","","","","477.3","1","1","2025-02-05",
"12","존재의 역사 - 우주에서 우리로 이어지는 138억 년의 거대사","팀 콜슨 (지은이), 이진구 (옮긴이)","오픈도어북스","2024","9791194276555","","","","409","1","1","2025-02-05",
"13","과학의 눈으로 세상을 봅니다 - 이정모 선생님이 과학에서 길어 올린 58가지 세상과 인간 이야기","이정모 (지은이)","오도스(odos)","2024","9791191552300","","","","404","1","1","2025-02-05",
"14","공감의 시대 - 다정한 사회를 만들기 위해 자연에서 배울 수 있는 것","프란스 드 발 (지은이), 최재천, 안재하 (옮긴이)","김영사","2024","9788934921608","","","","472","1","1","2025-02-05",
"15","내 안에 기후 괴물이 산다 - 기후변화는 어떻게 몸, 마음, 그리고 뇌를 지배하는가","클레이튼 페이지 알던 (지은이), 김재경 (옮긴이)","청림출판","2024","9791155402412","","","","331.4","1","1","2025-02-05",
"16","코스모스 씽킹 - 우주를 이해하면 보이는 일상의 본질","천문물리학자 BossB (지은이), 이정미 (옮긴이)","알토북스","2024","9791198853905","","","","443.1","1","1","2025-02-05",
"17","아인슈타인과 논쟁을 벌여봅시다 - 12명의 천재 물리학자가 들려주는 물리학 이야기","후위에하이 (지은이), 이지수 (옮긴이), 천년수 (감수)","미디어숲","2024","9791158742324","","","","420","1","0","2025-02-05",
"18","세상을 바꾼 수식 - 사물의 본질을 꿰뚫어 보는 위대한 수식들","도미시마 유스케 (지은이), 강태욱 (옮긴이)","미디어숲","2024","9791158742263","","","","410","1","1","2025-02-05",
"19","누군가의 곁에 있기 - 취약함을 끌어안고 다른 삶을 상상하며 만들어낸 돌봄의 세계들","고선규, 리단, 박소영, 백정연, 장혜영, 조기현 (지은이)","동녘","2024","9788972971467","","","","818","1","2","2025-02-05",
"20","우리는 왜 진정성에 집착하는가 - 진짜와 허상에 관하여","에밀리 부틀 (지은이), 이진 (옮긴이)","푸른숲","2024","9791172540364","","","","126","1","0","2025-02-05",
"21","자승스님의 묵묵부답","자승, 신동호 (지은이)","자음과모음","2024","9788954451833","","","","224.2","1","1","2025-02-05",
"22","불완전한 삶에 관한, 조금은 다른 이야기 - 다 이룰 수 없는 어른의 인생을 위한 수용전념 심리학","이두형 (지은이)","갈매나무","2024","9791191842746","","","","186.3","1","1","2025-02-05",
"23","나는 나를 사랑하지 않았던 거야 - 나를 치유하고 더 나은 우리가 되는 관계심리학","원정미 (지은이)","서사원","2024","9791168223257","","","","189.2","1","1","2025-02-05",
"24","전략의 여왕=:신입 매니저 민지의 고군분투 기업 부활기=The queen of strategy:","조용호 지음","와이즐리","2024","9791198936219","","0","","813.7","1","1","2024-11-12",
"25","파란만장한 커피사","박영순 지음;유사랑 그림","이글루","2024","9791198788429","","","","573.93","1","4","2024-11-12",
"26","(카를 융) 기억, 꿈, 사상:카를 융 최후의 자서전","카를 구스타프 융 지음;A. 야페 편집,조성기 옮김","김영사","2007","9788934927648","","0","","180.99","1","4","2024-11-12",
"27","신사의 나라 영국","김경희 글;윤남선 그림","동아엠앤비","2021","9791163635253","","7","","980","1","0","2024-11-12",
"28","레드 엠마=:아나키스트 엠마 골드만 자서전.=Red Emma:","엠마 골드만 지음;임유진 옮김","북튜브","2024","9791192628325","9791192628301","0","2","330.99","1","3","2024-11-12",
"29","레드 엠마=:아나키스트 엠마 골드만 자서전.=Red Emma:","엠마 골드만 지음;임유진 옮김","북튜브","2024","9791192628318","9791192628301","0","1","330.99","1","3","2024-11-12",
"30","살인자의 아들입니다:탁경은 장편소설","지은이: 탁경은;일러스트: 양양","책폴","2024","9791193162330","","4","","813.7","1","2","2024-11-12",
"31","아침 그리고 저녁:욘 포세 장편소설","욘 포세 지음;박경희 옮김","문학동네","2024","9791141607371","","0","","859.82","1","2","2024-11-12",
"32","암, 마음을 풀어야 낫습니다:암 환자와 그 가족들이 읽어야 할 필수 교과서!","지은이: 김종성;일러스트: 강일구","전나무숲","2024","9791193226476","","1","","513.994","1","1","2024-11-12",
"33","(사상의학자가 들려주는) 네 가지 마음 중심","이종형 지음","노토스","2024","9791196385415","","0","","189.1","1","5","2024-11-12",
"34","내 몸 바꾸는 식사법","시바타 시게노부 감수;홍성민 옮김","레몬한스푼","2024","9791198693372","","0","","517.52","1","4","2024-11-12",
"35","코끼리는 암에 걸리지 않는다:삶의 한계에 도전하는 동물들, 그 경이로움에 관하여","데이비드 B. 아구스 지음;허성심 옮김","현암사","2024","9788932323879","","0","","528","1","2","2024-11-12",
"36","인센티브 이코노미:사람을 행동하게 하는 시그널에 관하여","유리 그니지 지음;안기순 옮김","김영사","2024","9788934934868","","0","","325.345","1","0","2024-11-12",
"37","우리는 왜 극단에 서는가:우리와 그들을 갈라놓는 양극화의 기묘한 작동 방식","바르트 브란트스마 지음;안은주 옮김","한즈미디어","2024","9791193712467","","0","","340","1","1","2024-11-12",
"38","대한민국 행복지도 2024:서울대 행복연구센터의 행복 리포트","서울대학교 행복연구센터 지음","21세기북스(북이십일 21세기북스)","2024","9791171175574","","1","","331.1","1","2","2024-11-12",
"39","(빠알리 경전에 의거하여 엮은) 붓다의 일생","비구 냐아나몰리 편역;부희령 옮김","고요한소리","2023","9791191224115","","","","222.2","1","4","2024-11-12",
"40","파스칼 인생 공부:인간의 마음을 해부한, 67가지 철학수업","블레즈 파스칼 원작;김태현 지음","Pascal(파스칼)","2024","9791186151716","","0","","166.3","1","3","2024-11-12",
"41","who? 한국사 홍범도","김현수","다산북스","2024","9791130655215","","","","991.1","1","0","2024-11-12",
"42","시티 뷰","우신영","다산북스","2024","9791130647975","","","","813.7","1","5","2024-11-12",
"43","노플라잇 세계여행","조진서","리토스","2024","9791198342126","","","","816.7","1","5","2024-11-12",
"44","아제아제 바라아제","한승원","문이당","2024","9788974565879","","","","813.7","1","4","2024-11-12",
"45","나의 로스 앤젤레스","이근미","미래인(미래M&B,미래엠앤비)","2024","9788983949882","","","","813.7","1","2","2024-11-12",
"46","인간들 이야기","이스카리 유바","리드비","2024","9791192738437","","","","833.6","1","2","2024-11-12",
"47","당신의 비밀을 묻어드립니다","엘 코시마노","인플루엔셜(주)","2024","9791168342378","","","","843.6","1","1","2024-11-12",
"48","까멜리아 싸롱","고수리","클레이하우스","2024","9791193235263","","","","813.7","1","2","2024-11-12",
"49","새벽을 깨우다","클로에 윤","한끼","2024","9791194293217","","","","813.7","1","2","2024-11-12",
"50","기린과 함께 서쪽으로","린다 러틀리지","열린책들","2024","9788932924595","","","","843.6","1","1","2024-11-12",
"51","완전한 구원","에단 호크","다산책방","2024","9791130655109","","","","843.6","1","2","2024-11-12",
"52","너의 꿈에도 내가 나오는지","김지현","우리학교","2024","9791167552877","","","","813.7","1","4","2024-11-12",
"53","코마, 콤마","이승훈","서랍의 날씨","2024","9791161693095","","","","813.7","1","2","2024-11-12",
"54","강변의 조문객","메리 셸리","민음사","2024","9788937438387","","","","843.6","1","1","2024-11-12",
"55","비틀거리던 눈빛에 칼날이 보일 때","김진성","델피노","2024","9791191459920","","","","813.7","1","1","2024-11-12",
"56","와일드","셰릴 스트레이드","페이지2(page2)","2024","9791169851008","","","","848","1","2","2024-11-12",
"57","인형의 주인","조이스 캐럴 오츠","현대문학","2024","9791167902672","","","","843","1","2","2024-11-12",
"58","매일 잘 자고 싶은 사람들을 위한 책","제이드 우","푸른숲","2024","9791172540180","","","","517.31","1","0","2024-11-12",
"59","위대한 관찰","조르주 빅토르 르그로","H(휴머니스트출판그룹)","2024","9791170872429","","","","495.2099","1","2","2024-11-12",
"60","나무를 읽는 법","트리스탄 굴리","바다출판사","2024","9791166892837","","","","485.16","1","3","2024-11-12",
"61","피, 생명의 지문","라인하르트 프리들","흐름출판","2024","9788965966562","","","","511.111","1","2","2024-11-12",
"62","트렌드 코리아 2025","김난도","미래의창","2024","9788959897223","","","","320.911","1","5","2024-11-12",
"63","한국의 교통 역사","차동득","nobook(노북)","2024","9791190462556","","","","326.309","1","0","2024-11-12",
"64","시대예보: 호명사회","송길영","교보문고(단행본)","2024","9791170611875","","","","331.54","1","2","2024-11-12",
"65","왜 늙을까, 왜 병들까, 왜 죽을까","이현숙","21세기북스","2024","9791171177653","","","","474","1","4","2024-11-12",
"66","로컬 라이프스타일을 제안하다","정성욱","클라우드나인","2024","9791192966908","","","","331.47","1","2","2024-11-12",
"67","머무는 마음, 떠나는 마음","티아 루","아름다운사람들","2023","9788965137917","","","","843","1","0","2024-11-12",
"68","향신료 전쟁","최광용","한겨레출판","2024","9791172131005","","","","594.3466","1","1","2024-11-12",
"69","취향은 어떻게 계급이 되는가","나영웅","지음미디어","2024","9791193780060","","","","331.5","1","5","2024-11-12",
"70","유연함의 힘","수잔 애쉬포드","상상스퀘어","2023","9791192389073","","","","325.211","1","3","2024-11-12",
"71","초역 부처의 말","코이케 류노스케","포레스트북스","2024","9791193506516","","","","222.2","1","5","2024-11-12",
"72","미네소타주립대학 서양철학 강의","홍창성","불광출판사","2024","9791172610852","","","","160","1","3","2024-11-12",
"73","인생의 허무는 어디에서 오는가","석영중","위즈덤하우스","2024","9791171712892","","","","892.8","1","4","2024-11-12",
"74","무엇이 삶을 부유하게 만드는가","석영중","위즈덤하우스","2024","9791171712885","","","","892.8","1","4","2024-11-12",
"75","불안을 철학하다","사미르 초프라","안타레스","2024","9791191742237","","","","104","1","3","2024-11-12",
"76","하루 한 장 삶에 새기는 논어","이지연","보아스","2024","9791189347246","","","","148.3","1","4","2024-11-12",
"77","상처 입은 사람은 모두 철학자가 된다","박병준","청림출판","2024","9791155402375","","","","186.3","1","2","2024-11-12",
"78","통찰의학 마음편","김찬우","군자출판사(교재)","2024","9791170681830","","","","510","1","5","2024-11-12",
"79","검은 사슴:한강 장편소설","한강 지음","문학동네","2017","9788954648905","","0","","813.7","1","3","2024-10-29",
"80","(제29회) 이상문학상 작품집.","한강 [외] 지음","문학사상사","2005","9788970126746","","0","2005","813.6082","1","5","2024-10-29",
"81","한강:디 에센셜","한강 지음","문학동네","2023","9788954693462","","0","","810.81","1","3","2024-10-29",
"82","노랑무늬 영원","한강","문학과지성사","2024","9788932034836","","","","813.7","1","3","2024-10-29",
"83","서랍에 저녁을 넣어두었다","한강","문학과지성사","2024","9788932024639","","","","811.7","1","6","2024-10-29",
"84","에머슨이 바라본 세상:오늘을 살아가는 이들에게 가장 도움이 될 에머슨의 아포리즘","랠프 왈도 에머슨 지음;석필 편역","창해","2024","9791171740086","","0","","199.8","1","6","2024-08-27",
"85","결정을 못해서 고민입니다[큰글자도서]:우유부단함과 이별하고 인생이 행복해지는 선택의 기술 30","스기우라 리타 지음;이용택 옮김","이너북","2021","9791188414345","","0","","325.211","1","1","2024-08-27",
"86","라면의 역사:라면을 맛보며 문화를 즐긴다","지영준 지음","깊은나무","2024","9791191979602","","9","","574.756","1","4","2024-08-27",
"87","무인카페:지상 장편소설","지상 지음","문학수첩","2024","9791193790335","","0","","813.7","1","2","2024-08-27",
"88","캐런 제닝스 장편소설","캐런 제닝스 지음;권경희 옮김","비채","2024","9788934910879","","0","","893","1","7","2024-08-27",
"89","(제25회) 이효석문학상 수상작품집.","손보미 [외] 지음","북다","2024","9791170611783","","0","2024","813.6082","1","3","2024-08-27",
"90","할복:떠오르는 태양의 나라에서 할복으로 생을 마감한 한국전쟁 특파원 에밀 몽루아의 비극","리샤르 콜라스 지음;이주영 옮김","예미","2024","9791192907505","","0","","863","1","3","2024-08-27",
"91","옌안의 노래:심영의 장편소설","심영의 지음","푸른사상","2024","9791130821658","","4","","813.7","1","2","2024-08-27",
"92","안개 속의 세 사람:조민식 장편소설","조민식 지음","문학공원","2024","9788965775287","","0","","813.7","1","2","2024-08-27",
"93","(지적 대화를 위한) 교양인의 현대 철학:모더니즘에서 포스트 모더니즘 이후까지","이병창 지음","팬덤북스","2024","9791161693071","","0","","160","1","2","2024-08-27",
"94","세계사를 뒤흔든 5가지 생체실험:세계사의 변곡점에서 펼쳐진 생체실험의 뒷이야기","김서형 지음","믹스커피","2024","9791170435532","","0","","909","1","3","2024-08-27",
"95","도산 안창호와 함께 독립의 길을 걷다","이만근","스타북스","2024","9791157957453","","","","911.063","1","1","2024-08-27",
"96","누가 제이슨 벨을 죽였나","홀리 잭슨","북레시피","2024","9791193551202","","","","843.6","1","0","2024-08-27",
"97","내게 너무 낯선 나","레이첼 아비브","타인의사유","2024","9791172459581","","","","185.5","1","3","2024-08-27",
"98","(알아두면 쓸모 있는) 철학 상식 사전","마이클 무어 지음;이규리 옮김","Creta(크레타)","2024","9791192742304","","0","","104","1","3","2024-08-27",
"99","나는 메트로폴리탄 미술관의 경비원입니다:경이로운 세계 속으로 숨어버린 한 남자의 이야기","패트릭 브링리 지음;김희정,조현주 옮김","웅진씽크빅","2023","9788901276533","","0","","848","1","8","2024-08-27",
"100","찬란한 멸종","이정모","다산북스","2024","9791130655017","","","","476","1","5","2024-08-27",
"101","한국사는 없다","유성운","페이지2(page2)","2024","9791169850926","","","","911","1","4","2024-08-27",
"102","사유하는 미술관","김선지","알에이치코리아(RHK)","2024","9788925574776","","","","650.4","1","2","2024-08-27",
"103","왁자지껄 심리상담소","이광","서랍의날씨","2024","9791161693057","","","","813.7","1","6","2024-08-27",
"104","비 그친 오후의 헌책방","야기사와 사토시","다산책방","2024","9791130653891","","","","833.6","1","9","2024-08-27",
"105","무작정 쇼트트랙","이재영","한솔수북","2024","9791193494585","","","","813.8","1","0","2024-08-27",
"106","신의주 백선 백화점","진저 박","안녕로빈","2024","9791191942385","","","","843.6","1","6","2024-08-27",
"107","18번 구경남","채강D","네오픽션","2024","9791157404391","","","","813.7","1","3","2024-08-27",
"108","반드시 성공하는 스토리 완벽 공식","아라이 가즈키","세종(세종서적)","2024","9788984075047","","","","802","1","5","2024-08-27",
"109","먹고 기도하고 사기쳐라","이홍석","나무옆의자","2024","9791161571850","","","","813.7","1","3","2024-08-27",
"110","안녕, 나를 마중하러 왔어","박사랑","자음과모음","2024","9788954450713","","","","813.7","1","1","2024-08-27",
"111","어둠의 심장","조지프 콘래드","휴머니스트","2024","9791170872283","","","","843","1","3","2024-08-27",
"112","과거로 돌아가는 역","시미즈 하루키","빈페이지","2024","9791193873014","","","","833.6","1","6","2024-08-27",
"113","하얀 코 여자","고노 다에코","톰캣","2024","9791198575449","","","","833.6","1","3","2024-08-27",
"114","도쿄도 동정탑","구단 리에","문학동네","2024","9791141606824","","","","833.6","1","3","2024-08-27",
"115","당직실 고양이","송대길","비엠케이(BMK)","2024","9791189703790","","","","813.7","1","3","2024-08-27",
"116","사라진 서점","이비 우즈","인플루엔셜(주)","2024","9791168342187","","","","843.6","1","5","2024-08-27",
"117","2인조","정해연","엘릭시르","2024","9788954658164","","","","","1","1","2024-08-27",
"118","책방, 나라사랑","강정아","강","2024","9788982183478","","","","813.7","1","2","2024-08-27",
"119","멜라닌","하승민","한겨레출판","2024","9791172130879","","","","813.7","1","2","2024-08-27",
"120","센트 아일랜드","김유진","한끼","2024","9791198809995","","","","813.7","1","2","2024-08-27",
"121","속삭임 우묵한 정원","배수아","은행나무","2024","9791167374486","","","","813.7","1","3","2024-08-27",
"122","명화잡사","김태진","오아시스","2024","9791168272040","","","","650.4","1","5","2024-08-27",
"123","삶은 공학","빌 해맥","윌북","2024","9791155817438","","","","530","1","1","2024-08-27",
"124","머제스틱 극장에 빛이 쏟아지면","매튜 퀵","미디어창비","2024","9791193022610","","","","843.6","1","4","2024-08-27",
"125","밤은 눈을 감지 않는다","메리 쿠비카","해피북스투유","2024","9791170962199","","","","843.6","1","4","2024-08-27",
"126","고요의 바다에서","에밀리 세인트존 맨델","열린책들","2024","9788932924373","","","","843.6","1","1","2024-08-27",
"127","망원동 브라더스","김호연","나무옆의자","2024","9791161571829","","","","813.7","1","7","2024-08-27",
"128","오렌지와 빵칼","청예","허블","2024","9791193078259","","","","813.7","1","6","2024-08-27",
"129","아이유를 읽는 시간","조성진","한즈미디어(한스미디어)","2024","9791193712412","","","","673.511","1","1","2024-08-27",
"130","그래서 작사가 되려면","안영주","더디퍼런스","2024","9791161254937","","","","673.511","1","3","2024-08-27",
"131","아무도 이런 이야기를 하지 않는다","퍼트리샤 록우드","알에이치코리아(RHK)","2024","9788925574967","","","","843.6","1","1","2024-08-27",
"132","카페 도도에 오면 마음의 비가 그칩니다","시메노 나기","더퀘스트","2024","9791140709816","","","","833.6","1","4","2024-08-27",
"133","스튜디오 지브리의 현장","스즈키 도시오","AK(에이케이)커뮤니케이션즈","2024","9791127472092","","","","688.6","1","1","2024-08-27",
"134","무서운 그림들","이원율","빅피시","2024","9791193128077","","","","650.4","1","3","2024-08-27",
"135","워스트 첨가물","나카토가와 미츠구","지상사","2024","9788965020127","","","","574.06","1","3","2024-08-27",
"136","자연주부 채식약선 식탁","강주연","소금나무","2024","9791198383150","","","","594.5","1","2","2024-08-27",
"137","저속노화 식사법","정희원","테이스트북스","2024","9791141606862","","","","517.52","1","5","2024-08-27",
"138","단식 존엄사","비류잉","글항아리","2024","9791169092753","","","","818","1","4","2024-08-27",
"139","어떻게 지내요","시그리드 누네즈","엘리","2021","9791191247114","","","","843.5","1","5","2024-08-27",
"140","습관은 암도 멈추게 한다","이원경","21세기북스","2024","9791171176892","","","","513.994","1","4","2024-08-27",
"141","3분만 바라보면 눈이 젊어진다","히라마쓰 루이","쌤앤파커스","2024","9791165349837","","","","515.7","1","2","2024-08-27",
"142","1일 1만 보, 제대로 걸어라","오타니 요시오","싸이프레스","2024","9791160322286","","","","517.32","1","3","2024-08-27",
"143","나의 인물관","이케다 다이사쿠","중앙일보S","2024","9788927880349","","","","126","1","4","2024-08-27",
"144","몸과 마음 사이에서 철학하다","가시라기 히로키","위즈덤하우스","2024","9791171712151","","","","104","1","5","2024-08-27",
"145","(개항으로 세계를 만난) 조선 사람들의 근대 생활 탐구","권나리 외 8인 지음","푸른숲주니어","2024","9791156754961","","4","","911.05","1","2","2024-07-04",
"146","퀸의 대각선.","베르나르 베르베르 지음;전미연 옮김","열린책들","2024","9788932924403","9788932924380","0","2","863","1","2","2024-07-04",
"147","퀸의 대각선.","베르나르 베르베르 지음;전미연 옮김","열린책들","2024","9788932924397","9788932924380","0","1","863","1","4","2024-07-04",
"148","문이 열리면","헬렌 라일리 지음; 최호정 옮김","키멜리움","2024","9791198381224","","","","843","1","1","2024-07-04",
"149","수요일의 편지","모리사와 아키오","문예춘추사","2024","9788976046680","","","","833.6","1","5","2024-07-04",
"150","벌새","엘리자 수아 뒤사팽 글;엘렌 베클랭 그림;문현임 옮김","북극곰","2024","9791165883720","","7","","863","1","1","2024-07-04",
"151","햄버거와 백구두:하정자 소설집","하정자","문학공원","2024","9788965775218","","","","813.7","1","2","2024-07-04",
"152","내일:기욤 뮈소 장편소설","기욤 뮈소 지음;양영란 옮김","밝은세상","2024","9788984374812","","0","","863","1","3","2024-07-04",
"153","헤이그의 비밀, 이준 열사 사망 미스터리","김철 지음","열세번째방","2024","9791192312941","","0","","813.7","1","1","2024-07-04",
"154","버블 :조은오 장편소설","지은이: 조은오","창비","2024","9788936457266","","","","813.7","1","3","2024-07-04",
"155","최상의 잠","메이어 크리거 지음;이은주 옮김","소용","2024","9791198711403","","0","","517.31","1","3","2024-07-04",
"156","내 인생 5년 후","하우석 지음","다온북스","2023","9791193035207","","0","","325.211","1","3","2024-07-04",
"157","사람은 살던 대로 죽는다:죽음의 품격과 삶의 품격을 사유하는 생사학 에세이","마음애터 지음","솔트앤씨드","2018","9791188947010","","0","","126.5","1","8","2024-07-04",
"158","현명한 사람은 삶의 무게를 분산한다","제갈건","클랩북스","2024","9791193941065","","","","152.2","1","6","2024-07-04",
"159","나의 별저 아저씨, 윤두서","김영주","단비어린이","2024","9788963013497","","","","813.8","1","0","2024-07-04",
"160","벌거벗은 한국사 : 고려편","tvN〈벌거벗은 한국사〉제작팀 지음","프런트페이지","2024","9791193401125","","","","911","1","4","2024-07-04",
"161","나는 미혼부 연예인과 결혼했다","장정윤","선스토리","2024","9791198160386","","","","","1","0","2024-07-04",
"162","초능력","윤여림","위즈덤하우스","2023","9791192655475","","","","","1","0","2024-07-04",
"163","기타 등등 동아리를 신청합니다","류재향","시공사","2023","9791169259736","","","","","1","0","2024-07-04",
"164","산타 언니의 디지털 세탁소","우미옥","그레이트 Books(그레이트북스)","2023","9788927107255","","","","","1","0","2024-07-04",
"165","초콜릿이 너무 비싸요!","미셸 멀더","초록개구리","2023","9791157822355","","","","","1","0","2024-07-04",
"166","1795년, 정조의 행복한 행차","윤민용","봄볕","2023","9791193150184","","","","","1","0","2024-07-04",
"167","갈림길","윤슬","웅진주니어","2023","9788901272597","","","","","1","0","2024-07-04",
"168","기묘한 민박집","가이토 구로스케","서사원","2024","9791168222892","","","","833.6","1","3","2024-07-04",
"169","달콤한 살인 계획","김서진","나무옆의자","2024","9791161571744","","","","813.7","1","1","2024-07-04",
"170","아이가 없는 집","알렉스 안도릴","필름(Feelm)","2024","9791193262184","","","","859.7","1","1","2024-07-04",
"171","천지신명은 여자의 말을 듣지 않지","김이삭","래빗홀","2024","9791168341968","","","","813.7","1","2","2024-07-04",
"172","은랑전","켄 리우","황금가지","2024","9791170524045","","","","843","1","0","2024-07-04",
"173","늑대와 토끼의 게임","아비코 다케마루","시공사","2024","9791171253333","","","","833.6","1","1","2024-07-04",
"174","성스러운 술집이 문 닫을 때","로런스 블록","피니스아프리카에","2024","9791185190631","","","","843.6","1","2","2024-07-04",
"175","우리 패거리","필립 로스","비채","2024","9788934962076","","","","843.5","1","2","2024-07-04",
"176","입속 지느러미","조예은","한겨레출판","2024","9791172130633","","","","813.7","1","0","2024-07-04",
"177","꽃다발은 독","오리가미 교야","리드비","2024","9791192738345","","","","833.6","1","9","2024-07-04",
"178","기묘한 살인사건","송한별 외 지음","다담북스","2024","9791193282083","","","","813.7","1","2","2024-07-04",
"179","살인자는 천국에 있다","고조 노리오","하빌리스","2024","9791172453145","","","","833.6","1","2","2024-07-04",
"180","라부카를 위한 소나타","아단 미오","알에이치코리아(RHK)","2024","9788925575087","","","","833.6","1","1","2024-07-04",
"181","이혼 대책 본부","범유진 지음, 시농 그림","다림","2024","9788961773256","","","","813.8","1","1","2024-07-04",
"182","쓰는 여자, 작희","고은규","교유서가","2024","9791193710364","","","","813.7","1","2","2024-07-04",
"183","지하실의 새","김은채","델피노","2024","9791191459821","","","","813.7","1","1","2024-07-04",
"184","물을 수놓다","데라치 하루나","북다","2024","9791170611356","","","","833.6","1","2","2024-07-04",
"185","시간을 팝니다, T마켓","페르난도 트리아스 데 베스","앵글북스","2024","9791187512936","","","","873","1","1","2024-07-04",
"186","녹나무의 여신","히가시노 게이고","㈜소미미디어","2024","9791138483049","","","","833.6","1","5","2024-07-04",
"187","나쓰코의 모험","미시마 유키오","알에이치코리아(RHK)","2024","9788925574998","","","","833.6","1","3","2024-07-04",
"188","홀썸의 집밥 예찬","홀썸모먼트 지음","다산라이프","2024","9791130653044","","","","594.5","1","5","2024-07-04",
"189","마흔, 달라진 몸을 되돌릴 때","정이안 지음","더퀘스트","2024","9791140709243","","","","","1","2","2024-07-04",
"190","낭만식당","박진배 지음","효형출판","2024","9788958722229","","","","594.019","1","4","2024-07-04",
"191","나의 채식 테이블","정고메 지음","비타북스(VITABOOKS)","2024","9791158464165","","","","594.677","1","3","2024-07-04",
"192","심장의 아이","다케미야 유유코 (지은이), 최고은 (옮긴이)","다산북스","2024","9791130650913","","","","833.6","1","2","2024-07-04",
"193","느리게 나이 드는 비결 근육에 투자하라","히구치 미쓰루 지음, 송수영 옮김","이아소","2024","9791187113706","","","","593.5","1","3","2024-07-04",
"194","완치 비만 - 당신은 어떻게 살 안 찌는 사람으로 변했나요?","조승우 (지은이)","사이몬북스","2024","9791187330301","","","","517.52","1","1","2024-07-04",
"195","매일 만들어 먹고 싶은 디톡스 스무디 & 건강음료","김문정 지음","레시피팩토리","2024","9791192366388","","","","594.5547","1","2","2024-07-04",
"196","인생에도 레시피가 있다면","정영선(파란달) 지음, 김파카 일러스트","BOOKERS(북커스)","2024","9791190118668","","","","594.5","1","2","2024-07-04",
"197","미래는 생성되지 않는다","박주용","동아시아","2024","9788962623147","","","","420.04","1","1","2024-07-04",
"198","블루 머신","헬렌 체르스키","쌤앤파커스","2024","9791165349622","","","","454","1","1","2024-07-04",
"199","하버드 첫 강의 시간관리 수업","쉬셴장 지음, 하정희 옮김","리드리드출판(한국능률협회)","2023","9788972773719","","","","325.2112","1","1","2024-07-04",
"200","괜찮다는 거짓말","마거릿 로빈슨 러더퍼드 지음, 송섬별 옮김","북하우스","2020","9791164050772","","","","","1","3","2024-07-04",
"201","진정한 행복의 7가지 조건","채정호 지음","인플루엔셜","2023","9791168341418","","","","189.1","1","5","2024-07-04",
"202","나는 다정한 관찰자가 되기로 했다","이은경 (지은이)","서교책방","2024","9791198752406","","","","598.1","1","4","2024-07-04",
"203","사람을 안다는 것","데이비드 브룩스 (지은이), 이경식 (옮긴이)","웅진지식하우스","2024","9788901280776","","","","189.2","1","3","2024-07-04",
"204","젊치인을 키우고 있습니다","뉴웨이즈 지음","위즈덤하우스","2024","9791171712083","","","","340.4","1","0","2024-07-04",
"205","나답게 산다는 것","박은미","초록북스","2024","9791160024340","","","","199.1","1","3","2024-07-04",
"206","배워서 남 주자","김익승 지음","정한책방","2024","9791187685814","","","","370.4","1","1","2024-07-04",
"207","나는 선량한 기후파괴자입니다","토마스 브루더만 지음, 추미란 옮김","동녘","2024","9788972971290","","","","539.9","1","0","2024-07-04",
"208","당신은 인간의 마음을 가지고 있습니까?","박천기","Diff?rance(디페랑스)","2024","9791185264851","","","","001.3","1","7","2024-07-04",
"209","인공지능 윤리를 부탁해","허유선","나무야","2024","9791188717361","","","","004.73","1","2","2024-07-04",
"210","진짜 나를 찾아라 - 법정 스님 미공개 강연록","법정 (지은이)","샘터사","2024","9788946422728","","","","220.4","1","7","2024-07-04",
"211","기억의 풍선","제시 올리베로스 글;다나 울프카테 그림;나린글 편집부 옮김","동천사","2019","9791195747696","","7","","843","1","0","2024-06-04",
